id,ignored,zip,city,country,lat,lng
"17021","14781","26757","Borkum","DE","53.58580000","6.66748000"
"17022","13935","97688","Bad Kissingen","DE","50.20000000","10.08330000"
"17023","16146","24800","Elsdorf-Westermühlen","DE","54.25809036","9.52277632"
"17024","143932","17495","Karlsburg bei Greifswald Moeckow","DE","53.99146000","13.59026000"
"17025","22691","90602","Pyrbaum","DE","49.29860000","11.28970000"
"17026","16068","83549","Eiselfing","DE","48.05000000","12.23330000"
"17027","144097","19395","Plau am See Reppentin","DE","53.43261000","12.23029000"
"17028","22079","56357","Oelsberg","DE","50.20000000","7.83333000"
"17029","124635","83546","Gars am Inn Steinau, Gemeinde Gars am Inn","DE","48.15000000","12.28330000"
"17030","142189","01968","Senftenberg, Niederlausitz Niemtsch","DE","51.49077000","13.98015000"
"17031","35883","38875","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17032","35883","38875","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17033","35883","38889","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17034","35883","38889","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17035","35883","38889","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17036","35883","38889","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17037","35883","38875","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17038","35883","38875","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17039","35883","38889","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17040","35883","38889","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17041","35883","38889","Elbingerode (Harz)","DE","51.76938000","10.80631000"
"17042","35883","38889","Elbingerode (Harz)","DE","51.75556667","10.79443333"
"17043","17180","06786","Gohrau","DE","51.81582452","12.48699072"
"17044","144261","18528","Ralswiek Jarnitz","DE","54.44215530","13.45780620"
"17045","143487","17214","Nossentiner Hütte Sparow","DE","53.51482893","12.38557814"
"17046","15316","06408","Cörmigk","DE","51.72671000","11.84085000"
"17047","13515","06507","Allrode","DE","51.67671000","10.96869000"
"17048","24633","87675","Stötten am Auerberg","DE","47.73330000","10.68330000"
"17049","23858","23923","Schönberg (Mecklenburg)","DE","53.85115000","10.92725000"
"17050","22540","07381","Pößneck","DE","50.70000000","11.60000000"
"17051","14372","56370","Berndroth","DE","50.23330000","7.96667000"
"17052","21778","86695","Nordendorf","DE","48.60000000","10.83330000"
"17053","142482","19348","Gülitz-Reetz Reetz","DE","53.18013000","11.88138000"
"17054","23509","39606","Sandauerholz","DE","52.79104000","12.00376000"
"17055","16503","03238","Finsterwalde","DE","51.63026326","13.70682947"
"17056","17561","01900","Großröhrsdorf, Oberlausitz","DE","51.14409000","14.02971000"
"17057","143676","23996","Bad Kleinen Gallentin","DE","53.76325000","11.44819000"
"17058","23930","97852","Schollbrunn, Spessart","DE","49.83500000","9.46389000"
"17059","22039","09484","Kurort Oberwiesenthal","DE","50.41670000","12.98330000"
"17060","26842","26409","Wittmund","DE","53.59080000","7.76473000"
"17061","19961","84085","Langquaid","DE","48.81670000","12.05000000"
"17062","16932","86682","Genderkingen","DE","48.70000000","10.88330000"
"17063","22094","25761","Oesterdeichstrich","DE","54.15919000","8.89858000"
"17064","19958","35428","Langgöns","DE","50.50000000","8.66667000"
"17065","14070","86483","Balzhausen bei Krumbach, Schwaben","DE","48.23330000","10.50000000"
"17066","21831","51588","Nümbrecht","DE","50.90000000","7.55000000"
"17067","21058","49696","Molbergen","DE","52.85801000","7.92578000"
"17068","14734","67295","Bolanden, Pfalz","DE","49.63920000","8.01194000"
"17069","17623","21720","Grünendeich, Niederelbe","DE","53.56938000","9.61195000"
"17070","24325","38387","Söllingen, Niedersachsen","DE","52.09165918","10.92609022"
"17071","17543","09432","Großolbersdorf","DE","50.70000000","13.08330000"
"17072","13563","66885","Altenglan","DE","49.55000000","7.46667000"
"17073","16785","19205","Gadebusch","DE","53.70145000","11.11827000"
"17074","14347","37297","Berkatal","DE","51.23342965","9.91680454"
"17075","18477","65719","Hofheim am Taunus","DE","50.08330000","8.45000000"
"17076","15207","55595","Burgsponheim","DE","49.83330000","7.71667000"
"17077","14004","83646","Bad Tölz","DE","47.76670000","11.56670000"
"17078","13988","76669","Bad Schönborn","DE","49.20690000","8.64361000"
"17079","144258","18556","Putgarten Varnkevitz","DE","54.67644000","13.37057000"
"17080","22216","25836","Osterhever","DE","54.38436650","8.76437267"
"17081","21365","63543","Neuberg, Hessen","DE","50.20000000","8.98333000"
"17082","25068","65468","Trebur","DE","49.93110000","8.41611000"
"17083","26631","99100","Zimmernsupra","DE","50.98330000","10.86670000"
"17084","17678","88379","Guggenhausen","DE","47.90000000","9.45000000"
"17085","21088","94554","Moos (Niederbayern)","DE","48.75000000","12.96670000"
"17086","24534","22964","Steinburg, Kreis Stormarn","DE","53.69177000","10.39204000"
"17087","17781","35708","Haiger","DE","50.75000000","8.21667000"
"17088","143525","18334","Eixen Forkenbeck","DE","54.17724000","12.70263000"
"17089","16388","57632","Eulenberg, Westerwald","DE","50.60000000","7.46667000"
"17090","22667","83134","Prutting","DE","47.90000000","12.20000000"
"17091","14136","54578","Basberg, Eifel","DE","50.30000000","6.60000000"
"17092","127047","83329","Wonneberg Burgstall bei Waging am See","DE","47.91940000","12.73980000"
"17093","16284","09385","Erlbach-Kirchberg","DE","50.76670000","12.76670000"
"17094","17189","19399","Goldberg, Mecklenburg","DE","53.58989000","12.08747000"
"17095","14936","56370","Bremberg bei Katzenelnbogen","DE","50.31670000","7.91667000"
"17096","22060","51519","Odenthal","DE","51.03330000","7.11667000"
"17097","15974","63329","Egelsbach, Hessen","DE","49.97110000","8.67028000"
"17098","22027","57614","Oberwambach, Westerwald","DE","50.66670000","7.65000000"
"17099","25470","25821","Vollstedt","DE","54.62262615","9.02867541"
"17100","20728","94151","Mauth, Niederbayern","DE","48.88330000","13.58330000"
"17101","23049","55624","Rhaunen, Hunsrück","DE","49.85000000","7.35000000"
"17102","24167","02782","Seifhennersdorf","DE","50.93603000","14.60615000"
"17103","13889","73342","Bad Ditzenbach","DE","48.58330000","9.70000000"
"17104","20012","91207","Lauf an der Pegnitz","DE","49.51030000","11.27750000"
"17105","21147","14662","Mühlenberge","DE","52.68342160","12.60008959"
"17106","21147","14641","Mühlenberge","DE","52.68342160","12.60008959"
"17107","16947","55743","Gerach bei Idar-Oberstein","DE","49.75000000","7.33333000"
"17108","16882","06571","Gehofen","DE","51.32309000","11.32057000"
"17109","18408","02627","Hochkirch","DE","51.14939000","14.57129000"
"17110","142247","16818","Storbeck-Frankendorf Storbeck bei Neuruppin","DE","52.96998000","12.76269000"
"17111","121612","66892","Hütschenhausen Elschbacherhof","DE","49.41670000","7.48333000"
"17112","144353","17322","Rossow bei Pasewalk Wetzenow","DE","53.47204000","14.08462000"
"17113","14166","94137","Bayerbach, Rott","DE","48.41670000","13.15000000"
"17114","25376","72519","Veringenstadt","DE","48.18330000","9.21667000"
"17115","13795","08280","Aue, Sachsen","DE","50.58330000","12.70000000"
"17116","14797","29413","Bornsen bei Salzwedel","DE","52.71718000","10.91440000"
"17117","19012","63796","Kahl am Main","DE","50.08330000","9.00000000"
"17118","21061","06543","Molmerswende","DE","51.62523000","11.25861000"
"17119","21496","23992","Neukloster, Mecklenburg","DE","53.86480000","11.68508000"
"17120","22867","55481","Reckershausen, Hunsrück","DE","49.98330000","7.40000000"
"17121","14824","54552","Boxberg, Kreis Daun","DE","50.26670000","6.88333000"
"17122","18950","06917","Jessen (Elster)","DE","51.81363767","12.98744711"
"17123","151991","09224","Chemnitz Mittelbach bei Chemnitz","DE","50.79400000","12.78600000"
"17124","144139","18573","Altefähr Scharpitz","DE","54.33801000","13.14925000"
"17125","143609","18513","Splietsdorf Splietsdorf","DE","54.12403000","12.93019000"
"17126","20813","24109","Melsdorf","DE","54.31731606","10.03008691"
"17127","25741","96196","Wattendorf, Oberfranken","DE","50.03330000","11.13330000"
"17128","15330","01640","Coswig bei Dresden","DE","51.13066080","13.57806433"
"17129","24348","54317","Sommerau, Ruwer","DE","49.71670000","6.73333000"
"17130","127167","82390","Obersöchering Moos, Oberbayern","DE","47.75000000","11.20000000"
"17131","25767","47652","Weeze","DE","51.62680005","6.19686718"
"17132","17067","18276","Glasewitz","DE","53.82025000","12.28265000"
"17133","21631","99759","Niedergebra","DE","51.42221000","10.59958000"
"17134","19042","93183","Kallmünz","DE","49.15000000","11.96670000"
"17135","22361","54570","Pelm","DE","50.23330000","6.68333000"
"17136","120448","57539","Etzbach Heckenhof bei Hamm, Sieg","DE","50.76857000","7.69993000"
"17137","15612","91463","Dietersheim, Mittelfranken","DE","49.56670000","10.53330000"
"17138","25883","39517","Weißewarte","DE","52.46652000","11.87559000"
"17139","21786","22846","Norderstedt","DE","53.67359000","9.98570000"
"17140","21786","22844","Norderstedt","DE","53.67359000","9.98570000"
"17141","21786","22848","Norderstedt","DE","53.67359000","9.98570000"
"17142","21786","22850","Norderstedt","DE","53.67359000","9.98570000"
"17143","21786","22851","Norderstedt","DE","53.67359000","9.98570000"
"17144","18655","55483","Horbruch","DE","49.88330000","7.23333000"
"17145","25687","38378","Warberg, Kreis Helmstedt","DE","52.18098000","10.92060000"
"17146","144022","17509","Wusterhusen Konerow","DE","54.09738000","13.63873000"
"17147","20597","56769","Mannebach, Eifel","DE","50.28330000","6.98333000"
"17148","18972","04626","Jonaswalde","DE","50.83920000","12.28790000"
"17149","13422","98553","Ahlstädt","DE","50.53330000","10.68330000"
"17150","16903","56357","Geisig","DE","50.25000000","7.80000000"
"17151","18215","23777","Heringsdorf, Holstein","DE","54.30077600","11.00468400"
"17152","144049","19089","Demen Venzkow","DE","53.64825000","11.70370000"
"17153","20650","96257","Marktgraitz","DE","50.18330000","11.20000000"
"17154","16004","86741","Ehingen am Ries","DE","48.96670000","10.55000000"
"17155","21926","16727","Oberkrämer","DE","52.70336818","13.11471861"
"17156","21926","16766","Oberkrämer","DE","52.70336818","13.11471861"
"17157","142654","15837","Baruth / Mark Mückendorf","DE","52.07567000","13.48801000"
"17158","16014","27248","Ehrenburg bei Sulingen","DE","52.74647000","8.70609000"
"17159","23187","31637","Rodewald","DE","52.66580000","9.48212000"
"17160","143887","17398","Bargischow Woserow","DE","53.82315000","13.73747000"
"17161","22722","24376","Rabel","DE","54.69025777","9.95020704"
"17162","20486","54617","Lützkampen","DE","50.15000000","6.18333000"
"17163","15196","93133","Burglengenfeld","DE","49.20560000","12.04140000"
"17164","25685","39164","Wanzleben","DE","52.06109000","11.44304000"
"17165","16950","67813","Gerbach, Pfalz","DE","49.66670000","7.86667000"
"17166","19861","77933","Lahr / Schwarzwald","DE","48.35000000","7.86667000"
"17167","21281","54340","Naurath (Eifel)","DE","49.88330000","6.75000000"
"17168","143281","19294","Eldena an der Elde Güritz","DE","53.26077000","11.47680000"
"17169","18495","04936","Hohenbucko","DE","51.76382000","13.46872000"
"17170","14244","04683","Belgershain","DE","51.23330000","12.55000000"
"17171","14764","73441","Bopfingen","DE","48.85000000","10.35000000"
"17172","143998","17390","Rubkow Krenzow","DE","53.93221000","13.73403000"
"17173","14012","19336","Bad Wilsnack","DE","52.95791152","11.94776840"
"17174","14906","06712","Breitenbach bei Zeitz, Elster","DE","51.00000000","12.06670000"
"17175","14809","23881","Borstorf","DE","53.61371000","10.56475000"
"17176","20709","17209","Massow","DE","53.31395000","12.42077000"
"17177","143089","17129","Völschow Jagetzow","DE","53.86421000","13.35345000"
"17178","25442","99610","Vogelsberg bei Sömmerda","DE","51.13330000","11.25000000"
"17179","143653","18516","Süderholz, Vorpommern Wüsteney","DE","54.07321000","13.14739000"
"17180","15964","26188","Edewecht","DE","53.12657000","7.98358000"
"17181","16393","54597","Euscheid","DE","50.13330000","6.30000000"
"17182","81441","76227","Karlsruhe (Baden) Stupferich","DE","49.00470000","8.38583000"
"17183","81441","76228","Karlsruhe (Baden) Stupferich","DE","49.00470000","8.38583000"
"17184","16654","06347","Freist","DE","51.60440000","11.70412000"
"17185","26288","53534","Wirft","DE","50.36670000","6.86667000"
"17186","23106","97794","Rieneck","DE","50.10000000","9.65000000"
"17187","25411","84137","Vilsbiburg","DE","48.45000000","12.35000000"
"17188","13856","57610","Bachenberg","DE","50.71670000","7.65000000"
"17189","143773","19205","Krembz Stöllnitz","DE","53.61534000","11.09082000"
"17190","14038","25569","Bahrenfleth","DE","53.87144100","9.43989600"
"17191","15985","49577","Eggermühlen","DE","52.57096000","7.81728000"
"17192","81564","68307","Mannheim Sandhofen","DE","49.48830000","8.46472000"
"17193","17716","18276","Gutow","DE","53.75980000","12.13571000"
"17194","19815","91358","Kunreuth bei Forchheim, Oberfranken","DE","49.68330000","11.15000000"
"17195","25073","24896","Treia bei Schleswig","DE","54.51741413","9.32249181"
"17196","124392","83737","Irschenberg Hilgenrain","DE","47.83330000","11.91670000"
"17197","124392","83739","Irschenberg Hilgenrain","DE","47.83330000","11.91670000"
"17198","24898","17166","Teterow","DE","53.77371000","12.57535000"
"17199","26431","83329","Wonneberg","DE","47.91670000","12.71670000"
"17200","26431","83379","Wonneberg","DE","47.91670000","12.71670000"
"17201","23884","15566","Schöneiche bei Berlin","DE","52.47219000","13.70553000"
"17202","14746","29699","Bomlitz","DE","52.90461000","9.65812000"
"17203","23697","04889","Schildau, Gneisenaustadt","DE","51.45655199","12.93068216"
"17204","20648","91459","Markt Erlbach","DE","49.48330000","10.65000000"
"17205","16924","75050","Gemmingen","DE","49.15640000","8.98194000"
"17206","19471","39638","Kloster Neuendorf","DE","52.52622000","11.46097000"
"17207","15870","88422","Dürnau bei Bad Buchau","DE","48.06670000","9.56667000"
"17208","21532","66538","Neunkirchen / Saar","DE","49.35000000","7.18333000"
"17209","21532","66539","Neunkirchen / Saar","DE","49.35000000","7.18333000"
"17210","21532","66540","Neunkirchen / Saar","DE","49.35000000","7.18333000"
"17211","26261","89368","Winterbach (Kreis Günzburg)","DE","48.46670000","10.48330000"
"17212","21043","67591","Mörstadt","DE","49.66190000","8.25472000"
"17213","16087","53783","Eitorf","DE","50.76670000","7.45000000"
"17214","13429","94527","Aholming","DE","48.73330000","12.91670000"
"17215","24789","28857","Syke","DE","52.91286000","8.81782000"
"17216","151985","04463","Großpösna Großpösna","DE","51.26852000","12.50213000"
"17217","22306","23896","Panten","DE","53.66324000","10.61828000"
"17218","18282","74394","Hessigheim","DE","48.98330000","9.20000000"
"17219","25863","74679","Weißbach (Württemberg)","DE","49.30000000","9.60000000"
"17220","22538","25560","Pöschendorf","DE","54.03892700","9.49078700"
"17221","152925","18574","Poseritz Glutzow Siedlung","DE","54.27285000","13.27564000"
"17222","84606","72291","Loßburg Salzenweiler","DE","48.40000000","8.45000000"
"17223","25570","93194","Walderbach","DE","49.18330000","12.38330000"
"17224","20248","65549","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17225","20248","65550","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17226","20248","65551","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17227","20248","65552","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17228","20248","65553","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17229","20248","65554","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17230","20248","65555","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17231","20248","65556","Limburg an der Lahn","DE","50.38330000","8.05000000"
"17232","14788","37318","Bornhagen","DE","51.34434564","9.94416351"
"17233","14320","25779","Bergewöhrden","DE","54.31857251","9.21076037"
"17234","121046","54296","Trier Filsch","DE","49.75000000","6.63333000"
"17235","14299","95180","Berg, Oberfranken","DE","50.38330000","11.78330000"
"17236","143860","23968","Zierow Eggerstorf","DE","53.91655784","11.35381656"
"17237","21512","08496","Neumark, Sachsen","DE","50.66670000","12.35000000"
"17238","22996","24619","Rendswühren","DE","54.06571000","10.16559000"
"17239","24088","68723","Schwetzingen","DE","49.37810000","8.58194000"
"17240","18164","27386","Hemsbünde","DE","53.09052000","9.47326000"
"17241","23131","84326","Rimbach bei Eggenfelden","DE","48.46670000","12.65000000"
"17242","24604","67294","Stetten, Pfalz","DE","49.66940000","8.09194000"
"17243","20931","25866","Mildstedt","DE","54.46060766","9.09520678"
"17244","22705","06268","Querfurt","DE","51.38146000","11.60505000"
"17245","18664","55469","Horn, Hunsrück","DE","50.05000000","7.53333000"
"17246","23925","38170","Schöppenstedt","DE","52.14519000","10.77522000"
"17247","20279","31698","Lindhorst bei Stadthagen","DE","52.35817000","9.28339000"
"17248","15554","54411","Deuselbach","DE","49.75000000","7.05000000"
"17249","144152","18528","Bergen auf Rügen Neklade","DE","54.39625800","13.44481200"
"17250","20612","39365","Marienborn, Börde","DE","52.19628000","11.10652000"
"17251","17036","54558","Gillenfeld","DE","50.11670000","6.90000000"
"17252","18071","54673","Heilbach, Eifel","DE","50.05000000","6.28333000"
"17253","20560","55481","Maitzborn","DE","49.93330000","7.43333000"
"17254","25004","19230","Toddin","DE","53.42115000","11.14076000"
"17255","22000","89613","Oberstadion","DE","48.18330000","9.68333000"
"17256","17024","06449","Giersleben","DE","51.76520000","11.56008000"
"17257","25546","93192","Wald, Oberpfalz","DE","49.15000000","12.35000000"
"17258","13867","48455","Bad Bentheim","DE","52.30127000","7.15762000"
"17259","142580","03058","Drebkau Leuthen","DE","51.69445000","14.24780000"
"17260","23586","88605","Sauldorf","DE","47.93330000","9.10000000"
"17261","15758","91077","Dormitz","DE","49.60000000","11.11670000"
"17262","14416","31032","Betheln","DE","52.11224000","9.79128000"
"17263","18679","18519","Horst bei Grimmen","DE","54.13653000","13.22133000"
"17264","25029","06779","Tornau vor der Heide","DE","51.63713000","12.58881000"
"17265","25643","85469","Walpertskirchen","DE","48.25000000","11.96670000"
"17266","16071","79871","Eisenbach (Hochschwarzwald)","DE","47.96670000","8.26667000"
"17267","20423","95364","Ludwigschorgast","DE","50.13330000","11.56670000"
"17268","25803","91249","Weigendorf, Oberpfalz","DE","49.50000000","11.56670000"
"17269","143394","17237","Möllenbeck bei Neustrelitz Quadenschönfeld","DE","53.42208000","13.35195000"
"17270","17042","55767","Gimbweiler","DE","49.58330000","7.20000000"
"17271","23515","06456","Sandersleben","DE","51.67861678","11.56910326"
"17272","23150","06686","Rippach","DE","51.23330000","12.06670000"
"17273","23159","08355","Rittersgrün","DE","50.46670000","12.78330000"
"17274","25421","49429","Visbek, Kreis Vechta","DE","52.83496000","8.31250000"
"17275","20775","54346","Mehring, Mosel","DE","49.80000000","6.83333000"
"17276","21692","84183","Niederviehbach","DE","48.61670000","12.38330000"
"17277","14545","98553","Bischofrod","DE","50.55000000","10.65000000"
"17278","22598","94267","Prackenbach","DE","49.10000000","12.83330000"
"17279","14362","98587","Bermbach bei Schmalkalden","DE","50.68330000","10.61670000"
"17280","25462","37355","Vollenborn","DE","51.36223000","10.51066000"
"17281","24263","53520","Sierscheid","DE","50.45000000","6.91667000"
"17282","22155","54316","Ollmuth","DE","49.66670000","6.71667000"
"17283","142095","15324","Letschin Sophienthal, Oderbruch","DE","52.64671868","14.44964129"
"17284","143913","17498","Dersekow Neu Pansow","DE","54.03661000","13.26370000"
"17285","17771","55606","Hahnenbach","DE","49.81670000","7.41667000"
"17286","144478","02923","Hähnichen Spree","DE","51.35113000","14.88037000"
"17287","26537","18510","Zarrendorf","DE","54.23798000","13.10284000"
"17288","17324","34393","Grebenstein","DE","51.44711000","9.40972000"
"17289","18625","73271","Holzmaden","DE","48.63330000","9.51667000"
"17290","141855","66132","Saarbrücken Bischmisheim","DE","49.23330000","7.00000000"
"17291","18144","24321","Helmstorf bei Lütjenburg","DE","54.28861509","10.59649234"
"17292","15724","21255","Dohren, Nordheide","DE","53.30507000","9.70066000"
"17293","24136","07580","Seelingstädt bei Gera","DE","50.78330000","12.25000000"
"17294","17470","23627","Groß Grönau","DE","53.79530000","10.75594000"
"17295","16521","21514","Fitzen","DE","53.49452000","10.64661000"
"17296","15742","19374","Domsühl","DE","53.48799000","11.77729000"
"17297","143545","18507","Grimmen Grellenberg","DE","54.10506000","12.98047000"
"17298","22287","33098","Paderborn","DE","51.71891000","8.75752000"
"17299","22287","33100","Paderborn","DE","51.71891000","8.75752000"
"17300","22287","33102","Paderborn","DE","51.71891000","8.75752000"
"17301","22287","33104","Paderborn","DE","51.71891000","8.75752000"
"17302","22287","33106","Paderborn","DE","51.71891000","8.75752000"
"17303","26122","95676","Wiesau","DE","49.91670000","12.18330000"
"17304","19392","17337","Klein Luckow bei Strasburg","DE","53.55407000","13.83781000"
"17305","20185","06386","Osternienburg Libbesdorf","DE","51.77264000","12.10932000"
"17306","17019","54424","Gielert","DE","49.76670000","7.00000000"
"17307","23522","67813","Sankt Alban","DE","49.68330000","7.86667000"
"17308","15223","01906","Burkau","DE","51.17664000","14.17290000"
"17309","22262","67166","Otterstadt","DE","49.37220000","8.44778000"
"17310","50012","03238","Heideland, Niederlausitz","DE","51.60973000","13.64627000"
"17311","16555","99510","Flurstedt","DE","51.06670000","11.55000000"
"17312","15019","85567","Bruck, Oberbayern","DE","48.01670000","11.91670000"
"17313","81426","76133","Karlsruhe (Baden) Südweststadt","DE","49.00470000","8.38583000"
"17314","81426","76135","Karlsruhe (Baden) Südweststadt","DE","49.00470000","8.38583000"
"17315","81426","76137","Karlsruhe (Baden) Südweststadt","DE","49.00470000","8.38583000"
"17316","143021","17089","Burow bei Altentreptow Mühlenhagen","DE","53.73289000","13.27264000"
